Interstate,State,Rest Area,Rest Area Type,Count
5,California,Exit 786 – Yreka,Rest Area,0
5,California,Exit 753 – Weed,Rest Area (southbound),1
5,California,Exit 753 – Weed,Rest Area (northbound),2
5,California,Mile Marker 705 – Lakehead,Rest Area (southbound),3
5,California,Mile Marker 694 – O’Brien,Rest Area (northbound),4
5,California,Exit 667 – Anderson,Welcome Center,5
5,California,Mile Marker 655 – Red Bluff,Rest Area (southbound),6
5,California,Mile Marker 653 – Red Bluff,Rest Area (northbound),7
5,California,Mile Marker 632 – Corning,Rest Area (southbound),8
5,California,Mile Marker 632 – Corning,Rest Area (northbound),9
5,California,Mile Marker 608 – Willows,Rest Area (southbound),10
5,California,Mile Marker 608 – Willows,Rest Area (northbound),11
5,California,Mile Marker 583 – Maxwell,Rest Area (southbound),12
5,California,Mile Marker 583 – Maxwell,Rest Area (northbound),13
5,California,Mile Marker 556 – Dunnigan,Rest Area (southbound),14
5,California,Mile Marker 556 – Dunnigan,Rest Area (northbound),15
5,California,Mile Marker 529 – Sacramento,Rest Area (southbound),16
5,California,Mile Marker 445 – Westley,Rest Area (southbound),17
5,California,Mile Marker 445 – Westley,Rest Area (northbound),18
5,California,Mile Marker 384 – Firebaugh,Rest Area (southbound),19
5,California,Mile Marker 384 – Firebaugh,Rest Area (northbound),20
5,California,Mile Marker 320 – Huron,Rest Area (southbound),21
5,California,Mile Marker 320 – Huron,Rest Area (northbound),22
5,California,Mile Marker 259 – Buttonwillow,Rest Area (southbound),23
5,California,Mile Marker 259 – Buttonwillow,Rest Area (northbound),24
5,California,Mile Marker 206 – Lebec,Rest Area (southbound),25
5,California,Mile Marker 206 – Lebec,Rest Area (northbound),26
5,California,Mile Marker 60 – Oceanside,Rest Area (southbound),27
5,California,Mile Marker 60 – Oceanside,Rest Area (northbound),28
5,California,Exit 54b – Oceanside,Welcome Center (southbound),29
5,California,Exit 54a – Oceanside,Welcome Center (northbound),30
5,Oregon,Mile Marker 281 – Wilsonville,Rest Area (southbound),31
5,Oregon,Mile Marker 281 – Wilsonville,Rest Area (northbound),32
5,Oregon,Mile Marker 240 – Albany,Rest Area (southbound),33
5,Oregon,Mile Marker 240 – Albany,Rest Area (northbound),34
5,Oregon,Mile Marker 206 – Harrisburg,Rest Area (southbound),35
5,Oregon,Mile Marker 206 – Harrisburg,Rest Area (northbound),36
5,Oregon,Mile Marker 178 – Cottage Grove,Rest Area (southbound),37
5,Oregon,Mile Marker 178 – Cottage Grove,Rest Area (northbound),38
5,Oregon,Mile Marker 144 – Oakland,Rest Area (southbound),39
5,Oregon,Mile Marker 143 – Oakland,Rest Area (northbound),40
5,Oregon,Exit 99 – Canyonville,Rest Area,41
5,Oregon,Mile Marker 63 – Grants Pass,Rest Area (southbound),42
5,Oregon,Mile Marker 63 – Grants Pass,Rest Area (northbound),43
5,Oregon,Exit 45b – Gold Hill,Rest Area,44
5,Oregon,Mile Marker 22 – Talent,Rest Area (southbound),45
5,Oregon,Mile Marker 12 – Ashland,Welcome Center (northbound),46
5,Washington,Mile Marker 269 – Custer,Rest Area (southbound),47
5,Washington,Mile Marker 267 – Custer,Rest Area (northbound),48
5,Washington,Mile Marker 238 – Bow,Rest Area (southbound),49
5,Washington,Mile Marker 238 – Bow,Rest Area (northbound),50
5,Washington,Mile Marker 207 – Lakewood,Rest Area (southbound),51
5,Washington,Mile Marker 207 – Lakewood,Rest Area (northbound),52
5,Washington,Mile Marker 188 – Everett,Rest Area (southbound),53
5,Washington,Mile Marker 140 – Federal Way,Rest Area (northbound),54
5,Washington,Mile Marker 93 – Maytown,Rest Area (southbound),55
5,Washington,Mile Marker 90 – Rochester,Rest Area (northbound),56
5,Washington,Mile Marker 54 – Castle Rock,Rest Area (southbound),57
5,Washington,Mile Marker 54 – Castle Rock,Rest Area (northbound),58
5,Washington,Mile Marker 12 – Ridgefield,Rest Area (southbound),59
5,Washington,Mile Marker 11 – Ridgefield,Rest Area (northbound),60
8,Arizona,Mile Marker 84 – Sentinel,Rest Area (westbound),0
8,Arizona,Mile Marker 83 – Sentinel,Rest Area (eastbound),1
8,Arizona,Mile Marker 56 – Mohawk,Rest Area (westbound),2
8,Arizona,Mile Marker 56 – Mohawk,Rest Area (eastbound),3
8,California,Mile Marker 155 – Winterhaven,Rest Area (westbound),4
8,California,Mile Marker 155 – Winterhaven,Rest Area (eastbound),5
8,California,Mile Marker 108 – El Centro,Rest Area (westbound),6
8,California,Mile Marker 108 – El Centro,Rest Area (eastbound),7
8,California,Exit 51 – Pine Valley,Rest Area,8
10,Alabama,Mile Marker 65 – Seminole,Welcome Center (westbound),0
10,Alabama,Mile Marker 0.7 – Grand Bay,Welcome Center (eastbound),1
10,Arizona,Mile Marker 388 – San Simon,Rest Area (westbound),2
10,Arizona,Mile Marker 388 – San Simon,Rest Area (eastbound),3
10,Arizona,Mile Marker 320 – Dragoon,Rest Area (westbound),4
10,Arizona,Mile Marker 320 – Dragoon,Rest Area (eastbound),5
10,Arizona,Mile Marker 183 – Sacaton,Rest Area (westbound),6
10,Arizona,Mile Marker 181 – Sacaton,Rest Area (eastbound),7
10,Arizona,Mile Marker 86 – Tonopah,Rest Area (westbound),8
10,Arizona,Mile Marker 86 – Tonopah,Rest Area (eastbound),9
10,Arizona,Mile Marker 52 – Salome,Rest Area (westbound),10
10,Arizona,Mile Marker 52 – Salome,Rest Area (eastbound),11
10,Arizona,Mile Marker 4 – Quartzsite,Rest Area (westbound),12
10,Arizona,Mile Marker 4 – Quartzsite,Rest Area (eastbound),13
10,California,Exit 222 – Blythe,Rest Area,14
10,California,Mile Marker 159 – Indio,Rest Area (westbound),15
10,California,Mile Marker 159 – Indio,Rest Area (eastbound),16
10,California,Mile Marker 113 – Whitewater,Rest Area (westbound),17
10,California,Mile Marker 113 – Whitewater,Rest Area (eastbound),18
10,California,Mile Marker 91 – Beaumont,Rest Area (westbound),19
10,California,Mile Marker 86 – Redlands,Rest Area (eastbound),20
10,Florida,Mile Marker 318 – Lake City,Rest Area (westbound),21
10,Florida,Mile Marker 318 – Lake City,Rest Area (eastbound),22
10,Florida,Mile Marker 295 – Lake City,Rest Area (westbound),23
10,Florida,Mile Marker 294 – Lake City,Rest Area (eastbound),24
10,Florida,Mile Marker 265 – Lee,Rest Area (westbound),25
10,Florida,Mile Marker 265 – Lee,Rest Area (eastbound),26
10,Florida,Mile Marker 233 – Monticello,Rest Area (westbound),27
10,Florida,Mile Marker 233 – Monticello,Rest Area (eastbound),28
10,Florida,Mile Marker 194 – Tallahassee,Rest Area (westbound),29
10,Florida,Mile Marker 194 – Tallahassee,Rest Area (eastbound),30
10,Florida,Mile Marker 162 – Quincy,Rest Area (westbound),31
10,Florida,Mile Marker 162 – Quincy,Rest Area (eastbound),32
10,Florida,Mile Marker 133 – Cottondale,Rest Area (westbound),33
10,Florida,Mile Marker 133 – Cottondale,Rest Area (eastbound),34
10,Florida,Exit 96 – Ponce de Leon,Rest Area,35
10,Florida,Mile Marker 59 – Crestview,Rest Area (westbound),36
10,Florida,Mile Marker 59 – Crestview,Rest Area (eastbound),37
10,Florida,Mile Marker 29 – Milton,Rest Area (westbound),38
10,Florida,Mile Marker 29 – Milton,Rest Area (eastbound),39
10,Florida,Mile Marker 4 – Pensacola,Welcome Center (eastbound),40
10,Louisiana,Mile Marker 270 – Slidell,Welcome Center (westbound),41
10,Louisiana,Exit 121 – Breaux Bridge,Welcome Center,42
10,Louisiana,Mile Marker 1 – Vinton,Welcome Center (eastbound),43
10,Mississippi,Mile Marker 75 – Moss Point,Welcome Center (westbound),44
10,Mississippi,Mile Marker 63 – Gautier,Rest Area (westbound),45
10,Mississippi,Mile Marker 63 – Gautier,Rest Area (eastbound),46
10,Mississippi,Exit 2 – Pearlington,Welcome Center,47
10,New Mexico,Mile Marker 164 – Anthony,Welcome Center (westbound),48
10,New Mexico,Mile Marker 135 – Las Cruces,Rest Area (eastbound),49
10,New Mexico,Mile Marker 61 – Deming,Rest Area (westbound),50
10,New Mexico,Mile Marker 53 – Deming,Rest Area (eastbound),51
10,New Mexico,Exit 20 – Lordsburg,Welcome Center,52
10,Texas,Exit 880 – Orange,Welcome Center (westbound),53
10,Texas,Mile Marker 692 – Columbus,Rest Area (westbound),54
10,Texas,Mile Marker 692 – Columbus,Rest Area (eastbound),55
10,Texas,Mile Marker 619 – Seguin,Rest Area (westbound),56
10,Texas,Mile Marker 618 – Seguin,Rest Area (eastbound),57
10,Texas,Mile Marker 514 – Kerrville,Rest Area (westbound),58
10,Texas,Mile Marker 514 – Kerrville,Rest Area (eastbound),59
10,Texas,Mile Marker 394 – Sonora,Rest Area (westbound),60
10,Texas,Mile Marker 394 – Sonora,Rest Area (eastbound),61
10,Texas,Mile Marker 308 – Bakersfield,Rest Area (westbound),62
10,Texas,Mile Marker 308 – Bakersfield,Rest Area (eastbound),63
10,Texas,Mile Marker 233 – Fort Stockton,Rest Area (westbound),64
10,Texas,Mile Marker 233 – Fort Stockton,Rest Area (eastbound),65
10,Texas,Mile Marker 144 – Van Horn,Rest Area (westbound),66
10,Texas,Mile Marker 144 – Van Horn,Rest Area (eastbound),67
10,Texas,Mile Marker 51 – Fabens,Rest Area (westbound),68
10,Texas,Mile Marker 50 – Fabens,Rest Area (eastbound),69
10,Texas,Exit 1 – Anthony,Welcome Center (eastbound),70
15,California,Mile Marker 270 – Nipton,Rest Area (southbound),0
15,California,Mile Marker 270 – Nipton,Rest Area (northbound),1
15,California,Mile Marker 217 – Barstow,Rest Area (southbound),2
15,California,Mile Marker 217 – Barstow,Rest Area (northbound),3
15,California,Exit 178 – Lenwood,Welcome Center,4
15,Idaho,Exit 167 – Dubois,Rest Area,5
15,Idaho,Mile Marker 101 – Blackfoot,Rest Area (southbound),6
15,Idaho,Mile Marker 101 – Blackfoot,Rest Area (northbound),7
15,Idaho,Mile Marker 59 – Inkom,Rest Area (southbound),8
15,Idaho,Mile Marker 59 – Inkom,Rest Area (northbound),9
15,Idaho,Mile Marker 25 – Downey,Rest Area (southbound),10
15,Idaho,Mile Marker 7 – Malad City,Welcome Center (northbound),11
15,Montana,Exit 397 – Sweetgrass,Rest Area,12
15,Montana,Mile Marker 318 – Dutton,Rest Area (southbound),13
15,Montana,Mile Marker 318 – Dutton,Rest Area (northbound),14
15,Montana,Mile Marker 239 – Wolf Creek,Rest Area (southbound),15
15,Montana,Mile Marker 239 – Wolf Creek,Rest Area (northbound),16
15,Montana,Mile Marker 178 – Jefferson City,Rest Area (southbound),17
15,Montana,Mile Marker 177 – Jefferson City,Rest Area (northbound),18
15,Montana,Mile Marker 108 – Divide,Rest Area (southbound),19
15,Montana,Mile Marker 108 – Divide,Rest Area (northbound),20
15,Nevada,Exit 122 – Mesquite,Welcome Center,21
15,Nevada,Exit 12 – Primm,Welcome Center,22
15,Utah,Mile Marker 369 – Brigham City,Welcome Center (southbound),23
15,Utah,Mile Marker 363 – Perry,Rest Area (northbound),24
15,Utah,Exit 261 – Springville,Rest Area,25
15,Utah,Exit 188 – Scipio,Rest Area,26
15,Utah,Exit 167 – Fillmore,Rest Area,27
15,Utah,Exit 135 – Cove Fort,Rest Area,28
15,Utah,Exit 112 – Beaver,Rest Area,29
15,Utah,Mile Marker 88 – Paragonah,Rest Area (southbound),30
15,Utah,Mile Marker 88 – Paragonah,Rest Area (northbound),31
15,Utah,Mile Marker 45 – Kanarraville,Rest Area (southbound),32
15,Utah,Mile Marker 45 – Kanarraville,Rest Area (northbound),33
15,Utah,Mile Marker 2 – Saint George,Welcome Center (northbound),34
20,Alabama,Mile Marker 213 – Heflin,Welcome Center (westbound),0
20,Alabama,Mile Marker 84 – Cottondale,Rest Area (westbound),1
20,Alabama,Mile Marker 84 – Cottondale,Rest Area (eastbound),2
20,Alabama,Mile Marker 39 – Eutaw,Rest Area (westbound),3
20,Alabama,Mile Marker 38 – Eutaw,Rest Area (eastbound),4
20,Alabama,Mile Marker 0.4 – Cuba,Welcome Center (eastbound),5
20,Georgia,Mile Marker 201 – Augusta,Welcome Center (westbound),6
20,Georgia,Mile Marker 182 – Harlem,Rest Area (westbound),7
20,Georgia,Mile Marker 182 – Harlem,Rest Area (eastbound),8
20,Georgia,Mile Marker 108 – Rutledge,Rest Area (westbound),9
20,Georgia,Mile Marker 103 – Rutledge,Rest Area (eastbound),10
20,Georgia,Mile Marker 1 – Tallapoosa,Welcome Center (eastbound),11
20,Louisiana,Mile Marker 184 – Tallulah,Welcome Center (westbound),12
20,Louisiana,Mile Marker 97 – Choudrant,Rest Area (westbound),13
20,Louisiana,Mile Marker 95 – Choudrant,Rest Area (eastbound),14
20,Louisiana,Mile Marker 2 – Greenwood,Welcome Center (eastbound),15
20,Mississippi,Mile Marker 164 – Toomsuba,Welcome Center (westbound),16
20,Mississippi,Mile Marker 90 – Forest,Rest Area (eastbound),17
20,Mississippi,Mile Marker 75 – Morton,Rest Area (westbound),18
20,Mississippi,Exit 1a – Vicksburg,Welcome Center,19
20,South Carolina,Mile Marker 93 – Lugoff,Rest Area (westbound),20
20,South Carolina,Mile Marker 93 – Lugoff,Rest Area (eastbound),21
20,South Carolina,Mile Marker 0.5 – North Augusta,Welcome Center (eastbound),22
20,Texas,Mile Marker 635 – Waskom,Welcome Center (westbound),23
20,Texas,Mile Marker 538 – Van,Rest Area (westbound),24
20,Texas,Mile Marker 538 – Van,Rest Area (eastbound),25
20,Texas,Mile Marker 390 – Santo,Rest Area (westbound),26
20,Texas,Mile Marker 390 – Santo,Rest Area (eastbound),27
20,Texas,Mile Marker 359 – Ranger,Rest Area (westbound),28
20,Texas,Mile Marker 353 – Ranger,Rest Area (eastbound),29
20,Texas,Mile Marker 296 – Abilene,Rest Area (westbound),30
20,Texas,Mile Marker 296 – Abilene,Rest Area (eastbound),31
20,Texas,Mile Marker 256 – Trent,Rest Area (westbound),32
20,Texas,Mile Marker 256 – Trent,Rest Area (eastbound),33
20,Texas,Mile Marker 204 – Westbrook,Rest Area (westbound),34
20,Texas,Mile Marker 191 – Coahoma,Rest Area (eastbound),35
20,Texas,Mile Marker 69 – Pyote,Rest Area (westbound),36
20,Texas,Mile Marker 69 – Pyote,Rest Area (eastbound),37
24,Illinois,Exit 37 – Metropolis,Welcome Center,0
24,Kentucky,Mile Marker 93 – Trenton,Welcome Center (westbound),1
24,Kentucky,Exit 7 – Paducah,Welcome Center,2
24,Tennessee,Mile Marker 171 – Chattanooga,Welcome Center (eastbound),3
24,Tennessee,Mile Marker 160 – Jasper,Welcome Center (westbound),4
24,Tennessee,Mile Marker 160 – Jasper,Rest Area (eastbound),5
24,Tennessee,Mile Marker 133 – Monteagle,Rest Area (westbound),6
24,Tennessee,Mile Marker 133 – Monteagle,Rest Area (eastbound),7
24,Tennessee,Mile Marker 0.5 – Clarksville,Welcome Center (eastbound),8
25,Colorado,Exit 268 – Fort Collins,Welcome Center,0
25,Colorado,Mile Marker 115 – Pueblo,Rest Area (northbound),1
25,Colorado,Mile Marker 112 – Pueblo,Rest Area (southbound),2
25,Colorado,Exit 74 – Pueblo,Rest Area,3
25,Colorado,Exit 18 – Trinidad,Rest Area,4
25,Colorado,Exit 13b – Trinidad,Welcome Center,5
25,New Mexico,Exit 451 – Raton,Welcome Center,6
25,New Mexico,Mile Marker 434 – Maxwell,Rest Area (southbound),7
25,New Mexico,Mile Marker 434 – Maxwell,Rest Area (northbound),8
25,New Mexico,Mile Marker 376 – Watrous,Rest Area (southbound),9
25,New Mexico,Mile Marker 374 – Watrous,Rest Area (northbound),10
25,New Mexico,Mile Marker 269 – Santa Fe,Rest Area (northbound),11
25,New Mexico,Mile Marker 167 – San Acacia,Rest Area (southbound),12
25,New Mexico,Mile Marker 167 – San Acacia,Rest Area (northbound),13
25,New Mexico,Mile Marker 114 – Socorro,Rest Area (southbound),14
25,New Mexico,Mile Marker 114 – Socorro,Rest Area (northbound),15
25,New Mexico,Mile Marker 23 – Rincon,Rest Area (southbound),16
25,New Mexico,Mile Marker 23 – Rincon,Rest Area (northbound),17
25,Wyoming,Exit 254 – Kaycee,Rest Area,18
25,Wyoming,Exit 126 – Orin,Rest Area,19
25,Wyoming,Exit 92 – Wheatland,Rest Area,20
25,Wyoming,Exit 54 – Chugwater,Rest Area,21
25,Wyoming,Exit 7 – Cheyenne,Welcome Center,22
26,North Carolina,Mile Marker 67 – Columbus,Welcome Center (westbound),0
26,North Carolina,Mile Marker 41 – Fletcher,Rest Area (westbound),1
26,North Carolina,Mile Marker 41 – Fletcher,Rest Area (eastbound),2
26,North Carolina,Mile Marker 6 – Mars Hill,Welcome Center (eastbound),3
26,South Carolina,Mile Marker 204 – Ladson,Rest Area (eastbound),4
26,South Carolina,Mile Marker 152 – Orangeburg,Rest Area (westbound),5
26,South Carolina,Mile Marker 150 – Orangeburg,Rest Area (eastbound),6
26,South Carolina,Mile Marker 123 – Gaston,Rest Area (westbound),7
26,South Carolina,Mile Marker 123 – Gaston,Rest Area (eastbound),8
26,South Carolina,Mile Marker 63 – Kinards,Rest Area (westbound),9
26,South Carolina,Mile Marker 63 – Kinards,Rest Area (eastbound),10
26,South Carolina,Mile Marker 3 – Landrum,Welcome Center (eastbound),11
26,Tennessee,Exit 46 – Erwin,Welcome Center,12
29,Iowa,Exit 149 – Sioux City,Welcome Center,0
29,Iowa,Mile Marker 139 – Sergeant Bluff,Welcome Center (southbound),1
29,Iowa,Mile Marker 139 – Sergeant Bluff,Rest Area (northbound),2
29,Iowa,Mile Marker 110 – Onawa,Rest Area (southbound),3
29,Iowa,Mile Marker 110 – Onawa,Rest Area (northbound),4
29,Iowa,Mile Marker 80 – Missouri Valley,Rest Area (southbound),5
29,Iowa,Mile Marker 78 – Missouri Valley,Rest Area (northbound),6
29,Iowa,Mile Marker 38 – Pacific Junction,Rest Area (southbound),7
29,Iowa,Mile Marker 38 – Pacific Junction,Rest Area (northbound),8
29,Missouri,Mile Marker 108 – Rock Port,Welcome Center (southbound),9
29,Missouri,Mile Marker 27 – Dearborn,Rest Area (southbound),10
29,Missouri,Mile Marker 27 – Dearborn,Rest Area (northbound),11
29,North Dakota,Mile Marker 179 – Grafton,Rest Area (southbound),12
29,North Dakota,Mile Marker 179 – Grafton,Rest Area (northbound),13
29,North Dakota,Mile Marker 99 – Hillsboro,Rest Area (southbound),14
29,North Dakota,Mile Marker 99 – Hillsboro,Rest Area (northbound),15
29,North Dakota,Mile Marker 3 – Hankinson,Welcome Center (northbound),16
29,South Dakota,Mile Marker 251 – New Effington,Welcome Center (southbound),17
29,South Dakota,Exit 213 – Summit,Rest Area,18
29,South Dakota,Exit 121 – Brookings,Rest Area,19
29,South Dakota,Exit 26 – Vermillion,Welcome Center,20
30,Arkansas,Mile Marker 93 – Social Hill,Rest Area (westbound),0
30,Arkansas,Mile Marker 93 – Social Hill,Rest Area (eastbound),1
30,Arkansas,Mile Marker 56 – Gurdon,Rest Area (westbound),2
30,Arkansas,Mile Marker 56 – Gurdon,Rest Area (eastbound),3
30,Arkansas,Mile Marker 7 – Texarkana,Welcome Center (eastbound),4
30,Texas,Mile Marker 223 – Texarkana,Welcome Center (westbound),5
30,Texas,Mile Marker 143 – Mount Vernon,Rest Area (westbound),6
30,Texas,Mile Marker 143 – Mount Vernon,Rest Area (eastbound),7
30,Texas,Mile Marker 111 – Cumby,Rest Area (westbound),8
30,Texas,Mile Marker 111 – Cumby,Rest Area (eastbound),9
35,Iowa,Exit 214 – Northwood,Welcome Center,0
35,Iowa,Exit 159 – Dows,Rest Area,1
35,Iowa,Mile Marker 120 – Story City,Rest Area (northbound),2
35,Iowa,Mile Marker 119 – Story City,Rest Area (southbound),3
35,Iowa,Mile Marker 100 – Cambridge,Rest Area (southbound),4
35,Iowa,Mile Marker 100 – Cambridge,Rest Area (northbound),5
35,Iowa,Mile Marker 33 – Osceola,Rest Area (southbound),6
35,Iowa,Mile Marker 33 – Osceola,Rest Area (northbound),7
35,Iowa,Mile Marker 7 – Lamoni,Welcome Center (southbound),8
35,Iowa,Mile Marker 7 – Lamoni,Welcome Center (northbound),9
35,Iowa,Exit 4 – Lamoni,Welcome Center,10
35,Kansas,Mile Marker 175 – Williamsburg,Rest Area (southbound),11
35,Kansas,Mile Marker 175 – Williamsburg,Rest Area (northbound),12
35,Minnesota,Exit 249 – Duluth,Welcome Center,13
35,Minnesota,Mile Marker 208 – Willow River,Rest Area (southbound),14
35,Minnesota,Mile Marker 198 – Sandstone,Rest Area (northbound),15
35,Minnesota,Mile Marker 154 – Harris,Rest Area (northbound),16
35,Minnesota,Mile Marker 131 – Forest Lake,Rest Area (southbound),17
35,Minnesota,Mile Marker 75 – Elko,Rest Area (southbound),18
35,Minnesota,Mile Marker 68 – Faribault,Rest Area (northbound),19
35,Minnesota,Mile Marker 35 – Owatonna,Rest Area (southbound),20
35,Minnesota,Mile Marker 35 – Owatonna,Rest Area (northbound),21
35,Minnesota,Mile Marker 1 – Albert Lea,Welcome Center (northbound),22
35,Missouri,Mile Marker 81 – Coffey,Rest Area (southbound),23
35,Missouri,Mile Marker 81 – Coffey,Rest Area (northbound),24
35,Missouri,Mile Marker 35 – Holt,Rest Area (southbound),25
35,Missouri,Mile Marker 34 – Holt,Rest Area (northbound),26
35,Oklahoma,Mile Marker 225 – Blackwell,Welcome Center (southbound),27
35,Oklahoma,Mile Marker 225 – Blackwell,Rest Area (northbound),28
35,Oklahoma,Mile Marker 59 – Davis,Rest Area (southbound),29
35,Oklahoma,Mile Marker 59 – Davis,Rest Area (northbound),30
35,Oklahoma,Mile Marker 3 – Thackerville,Welcome Center (northbound),31
35,Texas,Mile Marker 502 – Gainesville,Welcome Center (southbound),32
35,Texas,Mile Marker 362 – Hillsboro,Rest Area (southbound),33
35,Texas,Mile Marker 362 – Hillsboro,Rest Area (northbound),34
35,Texas,Mile Marker 282 – Salado,Rest Area (southbound),35
35,Texas,Mile Marker 281 – Salado,Rest Area (northbound),36
35,Texas,Mile Marker 130 – Natalia,Rest Area (southbound),37
35,Texas,Mile Marker 130 – Natalia,Rest Area (northbound),38
35,Texas,Exit 18 – Laredo,Welcome Center,39
40,Arizona,Exit 359 – Lupton,Welcome Center,0
40,Arizona,Mile Marker 235 – Winslow,Rest Area (westbound),1
40,Arizona,Mile Marker 235 – Winslow,Rest Area (eastbound),2
40,Arizona,Mile Marker 23 – Yucca,Rest Area (westbound),3
40,Arizona,Mile Marker 23 – Yucca,Rest Area (eastbound),4
40,Arkansas,Exit 278 – West Memphis,Welcome Center,5
40,Arkansas,Mile Marker 242 – Forrest City,Rest Area (westbound),6
40,Arkansas,Mile Marker 235 – Forrest City,Rest Area (eastbound),7
40,Arkansas,Mile Marker 199 – White River,Rest Area (westbound),8
40,Arkansas,Mile Marker 199 – White River,Rest Area (eastbound),9
40,Arkansas,Mile Marker 72 – Big Piney,Rest Area (westbound),10
40,Arkansas,Mile Marker 67 – Knoxville,Rest Area (eastbound),11
40,Arkansas,Mile Marker 36 – Ozark,Rest Area (westbound),12
40,Arkansas,Mile Marker 35 – Ozark,Rest Area (eastbound),13
40,Arkansas,Mile Marker 2 – Van Buren,Welcome Center (eastbound),14
40,California,Mile Marker 106 – Essex,Rest Area (westbound),15
40,California,Mile Marker 106 – Essex,Rest Area (eastbound),16
40,California,Mile Marker 28 – Newberry Springs,Rest Area (westbound),17
40,California,Mile Marker 28 – Newberry Springs,Rest Area (eastbound),18
40,New Mexico,Mile Marker 373 – Bard,Welcome Center (westbound),19
40,New Mexico,Mile Marker 302 – Newkirk,Rest Area (westbound),20
40,New Mexico,Mile Marker 302 – Newkirk,Rest Area (eastbound),21
40,New Mexico,Mile Marker 252 – Santa Rosa,Rest Area (westbound),22
40,New Mexico,Mile Marker 252 – Santa Rosa,Rest Area (eastbound),23
40,New Mexico,Mile Marker 207 – Moriarty,Rest Area (westbound),24
40,New Mexico,Mile Marker 207 – Moriarty,Rest Area (eastbound),25
40,New Mexico,Exit 102 – Acomita,Rest Area,26
40,New Mexico,Mile Marker 3 – Gallup,Welcome Center (eastbound),27
40,North Carolina,Exit 364 – Warsaw,Rest Area,28
40,North Carolina,Mile Marker 324 – Benson,Rest Area (westbound),29
40,North Carolina,Mile Marker 324 – Benson,Rest Area (eastbound),30
40,North Carolina,Mile Marker 139 – Burlington,Rest Area (westbound),31
40,North Carolina,Mile Marker 139 – Burlington,Rest Area (eastbound),32
40,North Carolina,Mile Marker 177 – Clemmons,Rest Area (westbound),33
40,North Carolina,Mile Marker 177 – Clemmons,Rest Area (eastbound),34
40,North Carolina,Mile Marker 136 – Claremont,Rest Area (westbound),35
40,North Carolina,Mile Marker 136 – Claremont,Rest Area (eastbound),36
40,North Carolina,Mile Marker 82 – Marion,Rest Area (westbound),37
40,North Carolina,Mile Marker 82 – Marion,Rest Area (eastbound),38
40,North Carolina,Mile Marker 10 – Waterville Lake,Rest Area (westbound),39
40,North Carolina,Mile Marker 10 – Waterville Lake,Welcome Center (eastbound),40
40,Oklahoma,Mile Marker 316 – Sallisaw,Rest Area (eastbound),41
40,Oklahoma,Mile Marker 314 – Sallisaw,Welcome Center (westbound),42
40,Oklahoma,Mile Marker 197 – Shawnee,Rest Area (westbound),43
40,Oklahoma,Mile Marker 197 – Shawnee,Rest Area (eastbound),44
40,Oklahoma,Mile Marker 9 – Erick,Welcome Center (eastbound),45
40,Tennessee,Mile Marker 446 – Hartford,Welcome Center (westbound),46
40,Tennessee,Mile Marker 425 – Dandridge,Rest Area (westbound),47
40,Tennessee,Mile Marker 420 – Dandridge,Rest Area (eastbound),48
40,Tennessee,Mile Marker 326 – Crab Orchard,Rest Area (westbound),49
40,Tennessee,Mile Marker 324 – Crab Orchard,Rest Area (eastbound),50
40,Tennessee,Mile Marker 267 – Buffalo Valley,Welcome Center (westbound),51
40,Tennessee,Mile Marker 267 – Buffalo Valley,Welcome Center (eastbound),52
40,Tennessee,Mile Marker 170 – Dickson,Rest Area (westbound),53
40,Tennessee,Mile Marker 170 – Dickson,Rest Area (eastbound),54
